crop_code,crop_name,year,price_per_kg
1,teff,2011,850.0
1,teff,2013,1100.0
1,teff,2015,1250.0
2,wheat,2011,480.0
2,wheat,2013,620.0
2,wheat,2015,580.0
3,barley,2011,420.0
3,barley,2013,540.0
3,barley,2015,500.0
4,maize,2011,300.0
4,maize,2013,380.0
4,maize,2015,420.0
5,sorghum,2011,280.0
5,sorghum,2013,360.0
5,sorghum,2015,340.0
6,millet,2011,350.0
6,millet,2013,420.0
6,millet,2015,400.0
7,rice,2011,720.0
7,rice,2013,850.0
7,rice,2015,920.0
11,horsebeans,2011,450.0
11,horsebeans,2013,580.0
11,horsebeans,2015,620.0
12,chickpeas,2011,650.0
12,chickpeas,2013,820.0
12,chickpeas,2015,780.0
13,lentils,2011,720.0
13,lentils,2013,900.0
13,lentils,2015,950.0
14,haricot_beans,2011,480.0
14,haricot_beans,2013,620.0
14,haricot_beans,2015,680.0
21,niger_seed,2011,1200.0
21,niger_seed,2013,1450.0
21,niger_seed,2015,1350.0
22,linseed,2011,1100.0
22,linseed,2013,1380.0
22,linseed,2015,1280.0
23,groundnuts,2011,950.0
23,groundnuts,2013,1200.0
23,groundnuts,2015,1150.0
24,sunflower,2011,680.0
24,sunflower,2013,820.0
24,sunflower,2015,780.0
25,sesame,2011,1400.0
25,sesame,2013,1750.0
25,sesame,2015,1620.0
31,potatoes,2011,250.0
31,potatoes,2013,320.0
31,potatoes,2015,380.0
32,sweet_potatoes,2011,180.0
32,sweet_potatoes,2013,240.0
32,sweet_potatoes,2015,280.0
33,enset,2011,120.0
33,enset,2013,160.0
33,enset,2015,180.0
41,coffee,2011,2800.0
41,coffee,2013,3200.0
41,coffee,2015,2900.0
42,chat,2011,1500.0
42,chat,2013,1850.0
42,chat,2015,2100.0
43,sugar_cane,2011,80.0
43,sugar_cane,2013,110.0
43,sugar_cane,2015,130.0
